"dem","slope","aspect","TPI","TRI","ndvi","savi","sample_id","X","Y"
3912,33.4809882799102,291.388804033221,-0.625,38.875,0.348582148551941,0.157405152916908,60,-75.4170681148554,-11.7082662088883
4106,17.9978629834407,331.116260867661,1.375,18.875,0.32184973359108,0.186393886804581,61,-75.3871677005843,-11.7272937452426
4315,13.5572131116326,322.500359389413,-5.875,16.375,0.391459196805954,0.253644198179245,62,-75.3586263960528,-11.7075866540185
4328,6.98886459281139,202.665102349024,1.25,7.25,0.398642808198929,0.241734176874161,63,-75.3939632492823,-11.6763271300078
3851,28.4016815950572,247.001574947901,-3.25,31.5,0.431402027606964,0.173479020595551,64,-75.4055156820688,-11.7137026478467
4139,14.476218590293,232.256583742347,-16.125,21.875,0.388992637395859,0.193726062774658,65,-75.3565877314434,-11.7001115504507
3819,31.7270658579721,168.348730791063,-2.375,35.625,0.575109481811523,0.190391719341278,66,-75.3885268103239,-11.7150617575863
4414,12.8140493521405,314.597460998607,-1,12.5,0.346372425556183,0.182423666119576,67,-75.3599855057924,-11.6749680202682
3875,18.9058964365216,149.833962535262,7.625,19.875,0.58596396446228,0.33680072426796,68,-75.3830903713655,-11.7123435381071
4410,1.49288360228426,225.401214467758,-0.5,1.75,0.348162740468979,0.239063575863838,69,-75.4041565723292,-11.6620564777421
4414,1.96954546817161,258.842995197855,-1.75,2.25,0.36493855714798,0.244817808270454,70,-75.4061952369386,-11.6518631546951
4436,10.3849823721556,149.5804910824,-2.5,10.5,0.402383357286453,0.249006852507591,71,-75.4197863343345,-11.6817635689662
4370,3.62223173054815,183.055266750382,-1.125,3.625,0.404005646705627,0.267530769109726,72,-75.4007587979802,-11.6681724715703
4144,29.3052689526633,117.156096617255,-4.375,31.875,0.319954335689545,0.161480382084846,73,-75.4197863343345,-11.7014706601903
4083,18.9081367902562,219.449181009646,-18.875,22.875,0.352209597826004,0.134725123643875,74,-75.3783334872769,-11.6905977822736
4476,12.6115296749815,302.366542717546,-0.75,12.75,0.360515147447586,0.226614728569984,75,-75.3538695119642,-11.7130230929769
4370,11.093736510601,98.2925837604208,5.875,11.375,0.302298545837402,0.172332733869553,76,-75.3939632492823,-11.6967137761018
4495,4.93107277244532,215.921783444138,-1.625,5.375,0.435377180576324,0.22875352203846,77,-75.3402784145683,-11.7001115504507
4144,25.7783061834749,147.924559782437,-6.375,29.625,0.465905666351318,0.240042641758919,78,-75.3858085908447,-11.7069070991487
4340,26.0594634403625,117.118922801824,-2.75,28.5,0.308654457330704,0.167596533894539,79,-75.3667810544904,-11.6695315813099
3952,17.0188296510694,253.584040047869,-1,18,0.30991792678833,0.128690183162689,80,-75.4041565723292,-11.7334097390708
4539,4.77210811102661,98.0182026512547,2.375,5.125,0.471587002277374,0.30184468626976,81,-75.4129907856366,-11.6729293556588
4458,14.0219629657654,177.676779033185,-3.875,14.375,0.400347679853439,0.131822004914284,82,-75.344355743787,-11.7028297699299
3656,8.27821497006615,25.4114880081694,5.375,10.625,0.227976933121681,0.162629470229149,83,-75.4544436326942,-11.732730184201
